cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
hurs,fld_s03i245,,%,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,RELATIVE HUMIDITY AT 1.5M,relative_humidity
gpp,fld_s03i261,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,GROSS PRIMARY PRODUCTIVITY KG C/M2/S,gross_primary_productivity_of_biomass_expressed_as_carbon
npp,fld_s03i262,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,NET PRIMARY PRODUCTIVITY KG C/M2/S,net_primary_productivity_of_biomass_expressed_as_carbon
ra,fld_s03i263,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,PLANT RESPIRATION KG/M2/S,plant_respiration_carbon_flux
rh,fld_s03i293,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,SOIL RESPIRATION           KG C/M2/S,soil_respiration_carbon_flux
evspsblsoi,fld_s03i296,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,Evaporation from soil surface,water_evaporation_flux_from_soil
sbl,fld_s03i298,,kg m-2 s-1,time lat lon,mon,landIce,area: time: mean,,CMIP6_LImon,CM2,float32,110592,2081,cm000a.pm,SUBLIM. SURFACE (GBM) : RATE KG/M2/S,surface_snow_and_ice_sublimation_flux
rlut,fld_s03i332,,W m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOA OUTGOING LW RAD AFTER B.LAYER,toa_outgoing_longwave_flux
sftlf,fld_s03i395,,1,time lat lon,mon,atmos,area: time: mean,,CMIP6_fx,CM2,float32,110592,2081,cm000a.pm,FRACTION OF LAND,land_area_fraction
tauu,fld_s03i460,,Pa,time lat lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,X-COMP SURFACE BL STRESS,surface_downward_eastward_stress
tauv,fld_s03i461,,Pa,time lat_v lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,111360,2081,cm000a.pm,Y-COMP SURFACE BL STRESS,surface_downward_northward_stress
agesno,fld_s03i832,,day,time pseudo_level_1 lat lon,mon,landIce,area: time: mean,,CMIP6_LImon,CM2,float32,1880064,2081,cm000a.pm,CABLE SNOW AGE ON TILES,age_of_surface_snow
prsn,fld_s05i215,,kg m-2 s-1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOTAL SNOWFALL RATE: LS+CONV KG/M2/S,snowfall_flux
pr,fld_s05i216,,kg m-2 s-1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOTAL PRECIPITATION RATE     KG/M2/S,precipitation_flux
ci,fld_s05i269,,1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,deep convection indicator,
sci,fld_s05i270,,1,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,shallow convection indicator,
snw,fld_s08i023,,kg m-2,time lat lon,mon,landIce,area: time: mean,,CMIP6_LImon,CM2,float32,110592,2081,cm000a.pm,SNOW MASS AFTER HYDROLOGY      KG/M2,surface_snow_amount
mrsol,fld_s08i223,,kg m-2,time depth lat lon,mon,land,area: time: mean,,CMIP6_Emon,CM2,float32,663552,2081,cm000a.pm,SOIL MOISTURE CONTENT IN A LAYER,mass_content_of_water_in_soil_layer
tsl,fld_s08i225,,K,time depth lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,663552,2081,cm000a.pm,DEEP SOIL TEMP. AFTER HYDROLOGY DEGK,soil_temperature
snm,fld_s08i231,,kg m-2 s-1,time lat lon,mon,landIce,area: time: mean,,CMIP6_LImon,CM2,float32,110592,2081,cm000a.pm,surface_snow_melt_flux_where_land,
mrros,fld_s08i234,,kg m-2 s-1,time lat lon,mon,land,area: time: mean,,CMIP6_Lmon,CM2,float32,110592,2081,cm000a.pm,SURFACE RUNOFF RATE KG/M2/S,surface_runoff_flux
zfull,fld_s15i101,,m,time model_theta_level_number lat lon,mon,atmos,area: time: mean,,CMIP6_fx,CM2,float32,9400320,2081,cm000a.pm,H OF THETA MODEL LEVS FROM SEA LEVEL,height_above_reference_ellipsoid
psl,fld_s16i222,,Pa,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,PRESSURE AT MEAN SEA LEVEL,air_pressure_at_sea_level
ua,fld_s30i201,,m s-1,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2115840,2081,cm000a.pm,U COMPNT OF WIND ON P LEV/UV GRID,eastward_wind
va,fld_s30i202,,m s-1,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2115840,2081,cm000a.pm,V COMPNT OF WIND ON P LEV/UV GRID,northward_wind
ta,fld_s30i204,,K,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2115840,2081,cm000a.pm,TEMPERATURE ON P LEV/UV GRID,air_temperature
hus,fld_s30i205,,1,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Emon,CM2,float32,2115840,2081,cm000a.pm,SPECIFIC HUMIDITY ON P LEV/UV GRID,specific_humidity
hur,fld_s30i206,,%,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2115840,2081,cm000a.pm,RELATIVE HUMIDITY ON P LEV/UV GRID,relative_humidity
zg,fld_s30i207,,m,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2115840,2081,cm000a.pm,GEOPOTENTIAL HEIGHT ON P LEV/UV GRID,geopotential_height
wap,fld_s30i208,,Pa s-1,time pressure lat_v lon_u,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2115840,2081,cm000a.pm,OMEGA ON P LEV/UV GRID,lagrangian_tendency_of_air_pressure
ta,fld_s30i294,,K,time pressure lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2101248,2081,cm000a.pm,TEMPERATURE ON P LEV/T GRID,air_temperature
hus,fld_s30i295,,1,time pressure lat lon,mon,atmos,area: time: mean,,CMIP6_Emon,CM2,float32,2101248,2081,cm000a.pm,SPECIFIC HUMIDITY ON P LEV/T GRID,specific_humidity
hur,fld_s30i296,,%,time pressure lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2101248,2081,cm000a.pm,RELATIVE HUMIDITY ON P LEV/T GRID,relative_humidity
zg,fld_s30i297,,m,time pressure lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2101248,2081,cm000a.pm,GEOPOTENTIAL HEIGHT ON P LEV/T GRID,geopotential_height
wap,fld_s30i298,,Pa s-1,time pressure lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,2101248,2081,cm000a.pm,OMEGA ON P LEV/T GRID,lagrangian_tendency_of_air_pressure
clivi,fld_s30i406,,kg m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOTAL COLUMN QCF  RHO GRID,atmosphere_cloud_ice_content
intuaw,fld_s30i428,,,time lat lon,mon,atmos,area: time: mean,,CMIP6_Emon,CM2,float32,110592,2081,cm000a.pm,dry mass col int u*q  per unit area,
intvaw,fld_s30i429,,,time lat lon,mon,atmos,area: time: mean,,CMIP6_Emon,CM2,float32,110592,2081,cm000a.pm,dry mass col int v*q  per unit area,
ztp,fld_s30i453,,m,time lat lon,mon,atmos,area: time: mean,,CMIP6_AERmon,CM2,float32,110592,2081,cm000a.pm,Height at Tropopause Level,tropopause_altitude
prw,fld_s30i461,,kg m-2,time lat lon,mon,atmos,area: time: mean,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,TOTAL COLUMN Q (WATER VAPOUR PATH),
mmrbc,fld_s34i105 fld_s34i109 fld_s34i115 fld_s34i120,var[0]+var[1]+var[2]+var[3],kg kg-1,time model_theta_level_number lat lon,mon,aerosol,,,CMIP6_AERmon,CM2,float32,9400320,2081,cm000a.pm,,
cropFrac,fld_s03i317 fld_s03i395,"tileFracExtract(var[0],var[1],9).filled(0)",1,time pseudo_level_1 lat lon,mon,land,,,CMIP6_Lmon,CM2,float32,1880064,2081,cm000a.pm,,
landCoverFrac,fld_s03i317 fld_s03i395,(var[0]*var[1]).filled(0),1,time pseudo_level_1 lat lon,mon,land,,,CMIP6_Lmon,CM2,float32,1880064,2081,cm000a.pm,,
sifllwutop,fld_s03i531 fld_s00i031,var[0]/var[1],W m-2,time lat lon,mon,seaIce,,up,CMIP6_SImon,CM2,float32,110592,2081,cm000a.pm,,
sifllatstop,fld_s03i234 fld_s00i031,"maskSeaIce(var[0],var[1])",W m-2,time lat lon,mon,seaIce,area: time: point,up,CMIP6_SImon,CM2,float32,110592,2081,cm000a.pm,,
snw,fld_s08i236 fld_s03i317,"tileAve(var[0],var[1],0)",kg m-2,time pseudo_level_1 lat lon,mon,landIce,,,CMIP6_LImon,CM2,float32,1880064,2081,cm000a.pm,,
rtmt,fld_s01i207 fld_s01i208 fld_s03i332,var[0]-var[1]-var[2],W m-2,time lat lon,mon,atmos,,,CMIP6_Amon,CM2,float32,110592,2081,cm000a.pm,,
od550lt1aer,fld_s02i300 fld_s02i301 fld_s02i303,"optical_depth(3,var)",1,time pseudo_level_0 lat lon,mon,aerosol,,,CMIP6_AERmon,CM2,float32,663552,2081,cm000a.pm,,
