cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
snm;fld_s08i237 fld_s03i317;average_tile(var[0],tilefrac=var[1],lfrac=0);kg m-2 s-1;time lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;CM2;float32;110592;12;cw323a.pm;surface_snow_melt_flux_where_land;
snm;fld_s08i237 fld_s03i317;average_tile(var[0],tilefrac=var[1],lfrac=0);kg m-2 s-1;time lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;ESM;float32;110592;12;cw323a.pm;surface_snow_melt_flux_where_land;
mrros;fld_s08i234;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;SURFACE RUNOFF RATE          KG/M2/S;surface_runoff_flux
mrros;fld_s08i234;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;;CMIP6_Lmon;ESM;float32;110592;12;cw323a.pm;SURFACE RUNOFF RATE          KG/M2/S;surface_runoff_flux
zfull;fld_s15i101;;m;time model_theta_level_number lat lon;mon;atmos;area: time: mean;;CMIP6_fx;CM2;float32;9400320;12;cw323a.pm;H OF THETA MODEL LEVS FROM SEA LEVEL;height_above_reference_ellipsoid
psl;fld_s16i222;;Pa;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;PRESSURE AT MEAN SEA LEVEL;air_pressure_at_sea_level
clivi;fld_s30i406;;kg m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN QCF  RHO GRID;atmosphere_cloud_ice_content
intuaw;fld_s30i428;;;time lat lon;mon;atmos;area: time: mean;;CMIP6_Emon;CM2;float32;110592;12;cw323a.pm;dry mass col int u*q  per unit area;
intvaw;fld_s30i429;;;time lat lon;mon;atmos;area: time: mean;;CMIP6_Emon;CM2;float32;110592;12;cw323a.pm;dry mass col int v*q  per unit area;
ztp;fld_s30i453;;m;time lat lon;mon;aerosol;area: time: mean;;CMIP6_AERmon;CM2;float32;110592;12;cw323a.pm;Height at Tropopause Level;tropopause_altitude
prw;fld_s30i461;;kg m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN Q (WATER VAPOUR PATH);
mrrob;fld_s08i235;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;;CM2_mon;CM2;;float32;110592;12;cw323a.pm;SUB-SURFACE RUNOFF RATE      KG/M2/S; subsurface_runoff_flux
lmask;fld_s00i030;var[0].isel(time=0).astype(int);1;time lat lon;mon;land;area: time: point;;AUS2200_fx;CM2;float32;110592;12;cw323a.pm;LAND MASK (No halo) (LAND=TRUE);land_binary_mask
sithick;fld_s00i032;;m;time lat lon;mon;seaIce;area: time: mean;;CMIP6_SImon;CM2;float32;110592;12;cw323a.pm;SEA ICE DEPTH (MEAN OVER ICE)      M;sea_ice_thickness
rssntds;fld_s01i203;;W m-2;time lat lon;mon;ocean;area: mean where ice_free_sea over sea; time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;NET DN SW RAD FLUX:OPEN SEA:SEA MEAN;surface_net_downward_shortwave_flux
rlntds;fld_s02i203;;W m-2;time lat lon;mon;ocean;area: mean where ice_free_sea over sea; time: mean;;CMIP6_Omon;CM2;float32;110592;12;cw323a.pm;NET DN LW RAD FLUX:OPEN SEA:SEA MEAN;surface_net_downward_longwave_flux
rldscs;fld_s02i208_0;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) DOWN SURFACE LW FLUX;surface_downwelling_longwave_flux_in_air_assuming_clear_sky
hfssuo;fld_s03i228;;W m-2;time lat lon;mon;ocean;area:  mean where ice_free_sea over sea time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;SFC SH FLX FROM OPEN SEA:SEA MN W/M2;surface_upward_sensible_heat_flux
evspsblveg;fld_s03i297;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;Evaporation from canopy;water_evaporation_flux_from_canopy
sifllatstop;fld_s03i234 fld_s00i031;"maskSeaIce(var[0];var[1])";W m-2;time lat lon;mon;seaIce;area: time:  mean where sea_ice;up;CMIP6_SImon;CM2;float32;110592;12;cw323a.pm; mean where sea_ice;surface_upward_latent_heat_flux
sisnmass;fld_s00i095;;kg m-2;time lat lon;mon;seaIce;area: time: mean where sea_ice;;CMIP6_SImon;CM2;float32;110592;12;cw323a.pm;Snow amount on sea ice;liquid_water_content_of_surface_snow
mrfsofr;fld_s08i230;;1;time depth lat lon;mon;land;area: time: mean;;CM2_mon;CM2;float32;663552;12;cw323a.pm;FROZEN SOIL MOISTURE FRACTION;mass_fraction_of_frozen_water_in_soil_moisture
prc;fld_s05i205 fld_s05i206;var[0]+var[1];kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;ACDD_Amon;CM2;float32;110592;12;cw323a.pm;Convective precipitation at surface; includes both liquid and solid phases;convective_precipitation_flux
mrso;fld_s08i208;;kg m-2;time lat lon;mon;land;area: time: mean;;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;SOIL MOISTURE CONTENT;mass_content_of_water_in_soil
mrso;fld_s08i223;var[0].sum(dim='depth');kg m-2;time lat lon;mon;land;area: time: mean;;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;SOIL MOISTURE CONTENT;mass_content_of_water_in_soil
mrso;fld_s08i223;var[0].sum(dim='depth');kg m-2;time lat lon;mon;land;area: time: mean;;CMIP6_Lmon;ESM;float32;110592;12;cw323a.pm;SOIL MOISTURE CONTENT;mass_content_of_water_in_soil
cw;fld_s08i209;;kg m-2;time lat lon;mon;land;area: time: mean;;AUS2200_A1hr;CM2;float32;110592;12;cw323a.pm;CANOPY WATER CONTENT;canopy_water_amount
prlsprof;fld_s04i203;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;LARGE SCALE RAINFALL RATE    KG/M2/S;stratiform_rainfall_flux
prlsns;fld_s04i204;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;LARGE SCALE SNOWFALL RATE    KG/M2/S;stratiform_snowfall_flux
nep;fld_s03i262 fld_s03i293;var[0]-var[1];kg m-2 s-1;time lat lon;mon;land;area: mean where land time: mean;down;CMIP6_Emon;CM2;float32;110592;12;cw323a.pm;Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1];surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change
nep;fld_s03i262 fld_s03i293;var[0]-var[1];kg m-2 s-1;time lat lon;mon;land;area: mean where land time: mean;down;CMIP6_Emon;ESM;float32;110592;12;cw323a.pm;Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1];surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change
mrlqso;fld_s08i229;;1;time depth lat lon;mon;land;area: mean where land time: mean;;CM2_mon;CM2;float32;663552;12;cw323a.pm;UNFROZEN SOIL MOISTURE FRACTION;mass_fraction_of_unfrozen_water_in_soil_moisture
wa19uvgrid;fld_s30i203;;m s-1;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;W COMPNT OF WIND ON P LEV/UV GRID;upward_air_velocity
uauvgrid;fld_s30i201;;m s-1;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;U COMPNT OF WIND ON P LEV/UV GRID;eastward_wind
vauvgrid;fld_s30i202;;m s-1;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;V COMPNT OF WIND ON P LEV/UV GRID;northward_wind
tauvgrid;fld_s30i204;;K;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;TEMPERATURE ON P LEV/UV GRID;air_temperature
husuvgrid;fld_s30i205;;1;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;SPECIFIC HUMIDITY ON P LEV/UV GRID;specific_humidity
huruvgrid;fld_s30i206;;%;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;RELATIVE HUMIDITY ON P LEV/UV GRID;relative_humidity
zguvgrid;fld_s30i207;;m;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;GEOPOTENTIAL HEIGHT ON P LEV/UV GRID;geopotential_height
wapuvgrid;fld_s30i208;;Pa s-1;time pressure lat_v lon_u;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;OMEGA ON P LEV/UV GRID;lagrangian_tendency_of_air_pressure
ta;fld_s30i294;;K;time pressure lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;2101248;12;cw323a.pm;TEMPERATURE ON P LEV/T GRID;air_temperature
hus;fld_s30i295;;1;time pressure lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;2101248;12;cw323a.pm;SPECIFIC HUMIDITY ON P LEV/T GRID;specific_humidity
hur;fld_s30i296;;%;time pressure lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;2101248;12;cw323a.pm;RELATIVE HUMIDITY ON P LEV/T GRID;relative_humidity
zg;fld_s30i297;;m;time pressure lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;2101248;12;cw323a.pm;GEOPOTENTIAL HEIGHT ON P LEV/T GRID;geopotential_height
wap;fld_s30i298;;Pa s-1;time pressure lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;2101248;12;cw323a.pm;OMEGA ON P LEV/T GRID;lagrangian_tendency_of_air_pressure
nwdFracLut;fld_s03i317 fld_s03i395;landuse_frac(var[0],landfrac=var[1],nwd=1);1;time pseudo_level_1 lat lon;mon;land;area: time: mean;;CMIP6_Emon;CM2;float32;1880064;12;cw323a.pm;SURFACE TILE FRACTIONS;
nwdFracLut;fld_s03i317 fld_s03i395;landuse_frac(var[0],landfrac=var[1],nwd=1);1;time pseudo_level_1 lat lon;mon;land;area: time: mean;;CMIP6_Emon;ESM;float32;1880064;12;cw323a.pm;SURFACE TILE FRACTIONS;
fracLut;fld_s03i317 fld_s03i395;landuse_frac(var[0],landfrac=var[1]);1;time pseudo_level_1 lat lon;mon;land;area: time: mean;;CMIP6_Emon;CM2;float32;1880064;12;cw323a.pm;SURFACE TILE FRACTIONS;
fracLut;fld_s03i317 fld_s03i395;landuse_frac(var[0],landfrac=var[1]);1;time pseudo_level_1 lat lon;mon;land;area: time: mean;;CMIP6_Emon;ESM;float32;1880064;12;cw323a.pm;SURFACE TILE FRACTIONS;
cropFracC3;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],9,landfrac=var[1],lev='typec3crop');1;time pseudo_level_1 lat lon;mon;land;area: mean where land over all_area_types time: mean;;CMIP6_Emon;CM2;float32;1880064;12;cw323a.pm;Percentage Cover by C3 Crops;area_fraction
cropFracC3;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],9,landfrac=var[1],lev='typec3crop');1;time pseudo_level_1 lat lon;mon;land;area: mean where land over all_area_types time: mean;;CMIP6_Emon;ESM;float32;1880064;12;cw323a.pm;Percentage Cover by C3 Crops;area_fraction
treeFrac;fld_s03i317;extract_tilefrac(var[0],[1,2,3,4],landfrac=var[1],lev='typetree');1;time pseudo_level_1 lat lon;mon;land;area: mean where land over all_area_types time: mean;;CMIP6_Lmon;CM2;float32;1880064;12;cw323a.pm;Tree Cover Percentage;area_fraction
